name,n,delta,ddt_states,ddt_ratio,lin,lat_states,lat_ratio,lat_values,beta,bct_states,bct_ratio
PRINTcipher,3,2,7,9.14,2,12,5.33,4,2,13,4.92
Pyjamask_3,3,2,13,4.92,2,20,3.2,4,2,19,3.37
SEA,3,2,9,7.11,2,19,3.37,4,2,16,4.0
Anubis_S0,4,4,48,5.33,4,70,3.66,6,10,68,3.76
Anubis_S1,4,4,52,4.92,4,71,3.61,6,10,70,3.66
BLAKE_1,4,8,53,4.83,6,68,3.76,7,8,81,3.16
BLAKE_2,4,6,52,4.92,6,61,4.2,7,16,76,3.37
BLAKE_3,4,6,50,5.12,6,72,3.56,7,10,75,3.41
BLAKE_4,4,6,49,5.22,6,73,3.51,7,10,77,3.32
BLAKE_5,4,6,50,5.12,6,67,3.82,7,10,80,3.2
BLAKE_6,4,8,51,5.02,6,62,4.13,8,16,86,2.98
BLAKE_7,4,6,47,5.45,4,65,3.94,6,16,69,3.71
BLAKE_8,4,6,51,5.02,6,66,3.88,7,10,83,3.08
BLAKE_9,4,6,53,4.83,6,74,3.46,8,10,80,3.2
CLEFIA_SS0,4,4,48,5.33,4,73,3.51,6,10,77,3.32
CLEFIA_SS1,4,4,48,5.33,4,63,4.06,6,10,75,3.41
CLEFIA_SS2,4,4,48,5.33,4,63,4.06,6,10,72,3.56
CLEFIA_SS3,4,4,51,5.02,4,78,3.28,6,10,73,3.51
CRAFT,4,4,52,4.92,4,73,3.51,6,16,71,3.61
CS_cipher_F,4,4,36,7.11,4,45,5.69,6,,,
CS_cipher_G,4,4,37,6.92,4,60,4.27,6,16,67,3.82
CiliPadi,4,4,39,6.56,4,54,4.74,6,16,48,5.33
Clyde,4,4,49,5.22,4,53,4.83,6,16,65,3.94
Coral,4,4,51,5.02,4,77,3.32,6,10,77,3.32
DES_S1_1,4,8,49,5.22,6,66,3.88,8,10,79,3.24
DES_S1_2,4,8,52,4.92,6,63,4.06,8,10,77,3.32
DES_S1_3,4,8,55,4.65,6,71,3.61,8,10,75,3.41
DES_S1_4,4,8,49,5.22,6,63,4.06,7,16,79,3.24
DES_S2_1,4,6,49,5.22,6,53,4.83,8,16,74,3.46
DES_S2_2,4,8,53,4.83,6,56,4.57,7,16,72,3.56
DES_S2_3,4,8,47,5.45,6,72,3.56,7,16,67,3.82
DES_S2_4,4,6,56,4.57,6,73,3.51,8,10,83,3.08
DES_S3_1,4,8,53,4.83,6,70,3.66,8,10,76,3.37
DES_S3_2,4,8,54,4.74,6,64,4.0,7,10,81,3.16
